id,name,heading_font,body_font,css_import,self_host_note,mood,best_for,license,source
1,Classic Elegant,Playfair Display,Inter,"@import url('https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700&family=Playfair+Display:wght@400;500;600;700&display=swap');","Self-host via fontsource: npm install @fontsource/inter @fontsource/playfair-display","elegant luxury sophisticated editorial","Luxury brands fashion editorial magazines","OFL 1.1 (Playfair); OFL 1.1 (Inter)","Google Fonts / OFL 1.1"
2,Modern Professional,Poppins,Open Sans,"@import url('https://fonts.googleapis.com/css2?family=Open+Sans:wght@300;400;500;600;700&family=Poppins:wght@400;500;600;700&display=swap');","Self-host via fontsource: npm install @fontsource/poppins @fontsource/open-sans","modern professional clean corporate","SaaS corporate business startups","OFL 1.1 (both)","Google Fonts / OFL 1.1"
3,Tech Startup,Space Grotesk,DM Sans,"@import url('https://fonts.googleapis.com/css2?family=DM+Sans:wght@400;500;700&family=Space+Grotesk:wght@400;500;600;700&display=swap');","Self-host via fontsource: npm install @fontsource/space-grotesk @fontsource/dm-sans","tech startup modern innovative bold","Tech companies SaaS developer tools AI products","OFL 1.1 (both)","Google Fonts / OFL 1.1"
4,Editorial Classic,Cormorant Garamond,Libre Baskerville,"@import url('https://fonts.googleapis.com/css2?family=Cormorant+Garamond:wght@400;500;600;700&family=Libre+Baskerville:wght@400;700&display=swap');","Self-host via fontsource: npm install @fontsource/cormorant-garamond @fontsource/libre-baskerville","editorial classic literary traditional refined","Publishing blogs literary magazines book covers","OFL 1.1 (both)","Google Fonts / OFL 1.1"
5,Data Focused,IBM Plex Sans,IBM Plex Mono,"@import url('https://fonts.googleapis.com/css2?family=IBM+Plex+Mono:wght@400;500;700&family=IBM+Plex+Sans:wght@300;400;500;600;700&display=swap');","Self-host via fontsource: npm install @fontsource/ibm-plex-sans @fontsource/ibm-plex-mono","technical authoritative data developer","Data tools developer tools analytics dashboards","OFL 1.1 (both; IBM)","IBM / OFL 1.1"
6,Accessible Reading,Atkinson Hyperlegible,Atkinson Hyperlegible,"@import url('https://fonts.googleapis.com/css2?family=Atkinson+Hyperlegible:wght@400;700&display=swap');","Self-host via fontsource: npm install @fontsource/atkinson-hyperlegible","accessible legible dyslexia-friendly low-vision","Healthcare education accessibility-first public sector","OFL 1.1 (Braille Institute)","Braille Institute / OFL 1.1 -- preferred for a11y"
7,Developer Geist,Geist,Geist Mono,"Download from https://vercel.com/font","npm install geist; import from 'geist/font' in Next.js; or self-host woff2 from GitHub","developer modern clean vercel","Developer platforms AI tools next.js apps","OFL 1.1 (Vercel)","Vercel / OFL 1.1"
8,Friendly Round,Nunito,Nunito Sans,"@import url('https://fonts.googleapis.com/css2?family=Nunito:wght@400;500;600;700;800&family=Nunito+Sans:wght@400;500;600;700&display=swap');","Self-host via fontsource: npm install @fontsource/nunito @fontsource/nunito-sans","friendly rounded approachable warm consumer kids","Consumer apps education wellness social","OFL 1.1 (both)","Google Fonts / OFL 1.1"
9,Code Mono,JetBrains Mono,Inter,"@import url('https://fonts.googleapis.com/css2?family=Inter:wght@400;500;700&family=JetBrains+Mono:wght@400;500;700&display=swap');","Self-host: JetBrains Mono from GitHub (OFL); Inter from fontsource","developer code IDE terminal keyboard-first","Developer tools code editors CLI","OFL 1.1 (JetBrains Mono); OFL 1.1 (Inter)","JetBrains / OFL 1.1"
10,Source Trio,Source Serif 4,Source Sans 3,"@import url('https://fonts.googleapis.com/css2?family=Source+Code+Pro:wght@400;500;700&family=Source+Sans+3:wght@300;400;500;600;700&family=Source+Serif+4:wght@400;500;600;700&display=swap');","Self-host all three from fontsource: npm install @fontsource/source-serif-4 @fontsource/source-sans-3 @fontsource/source-code-pro","professional editorial authoritative adobe","Documentation editorial academic technical","OFL 1.1 (Adobe)","Adobe / OFL 1.1"
